ImageId,Target,image_path,fold,label
Id_jdqw9hlv6j.png,14.0,data/Id_jdqw9hlv6j.png,0,
Id_6xtrolmuvc.png,18.0,data/Id_6xtrolmuvc.png,1,
Id_2m49sj3xd9.png,0.0,data/Id_2m49sj3xd9.png,2,
Id_9jwg5pcnn4.png,28.0,data/Id_9jwg5pcnn4.png,3,
Id_vnm6e8n0p3.png,21.0,data/Id_vnm6e8n0p3.png,4,
Id_nro5x2z9p2.png,0.0,data/Id_nro5x2z9p2.png,0,
Id_g4c6aa4l1z.png,0.0,data/Id_g4c6aa4l1z.png,1,
Id_j2fzjybuqv.png,0.0,data/Id_j2fzjybuqv.png,2,
Id_5beb0oyc43.png,0.0,data/Id_5beb0oyc43.png,3,
Id_uirh42cj8d.png,0.0,data/Id_uirh42cj8d.png,4,
Id_h1kv7hjply.png,0.0,data/Id_h1kv7hjply.png,0,
Id_hox12g55h9.png,0.0,data/Id_hox12g55h9.png,1,
Id_iz6giv9rl2.png,11.0,data/Id_iz6giv9rl2.png,2,
Id_41v2v91vth.png,11.0,data/Id_41v2v91vth.png,3,
Id_5tplrmht0q.png,3.0,data/Id_5tplrmht0q.png,4,
Id_6ezra2zav9.png,15.0,data/Id_6ezra2zav9.png,0,
Id_qecwqg9rgk.png,0.0,data/Id_qecwqg9rgk.png,1,
Id_6idaf4uzme.png,22.0,data/Id_6idaf4uzme.png,2,
Id_qjbi2wv090.png,8.0,data/Id_qjbi2wv090.png,3,
Id_wb3q5n41us.png,39.0,data/Id_wb3q5n41us.png,4,
Id_fjvn1jg356.png,0.0,data/Id_fjvn1jg356.png,0,
Id_0rnfapoylw.png,21.0,data/Id_0rnfapoylw.png,1,
Id_bg1qb0rcih.png,0.0,data/Id_bg1qb0rcih.png,2,
Id_el14phvmwe.png,0.0,data/Id_el14phvmwe.png,3,
Id_8wt051uqhq.png,9.0,data/Id_8wt051uqhq.png,4,
Id_ls611rwlpc.png,42.0,data/Id_ls611rwlpc.png,0,
Id_ocozno17vq.png,0.0,data/Id_ocozno17vq.png,1,
Id_bloe1r3d4o.png,0.0,data/Id_bloe1r3d4o.png,2,
